"gene" "PcorAvg_m" "PcorAvg_m_pvalue"
"ANAPC4" "ANAPC4" NA NA
"ANAPC5" "ANAPC5" 0.424864391925166 0.0788292278831778
"ANAPC7" "ANAPC7" NA NA
"ANG" "ANG" -0.244328927317626 0.328520795497072
"ANGEL1" "ANGEL1" 0.538043598826985 0.0212632354332664
"ANGEL2" "ANGEL2" NA NA
"ANGPTL2" "ANGPTL2" NA NA
"ANGPTL4" "ANGPTL4" NA NA
"ANGPTL6" "ANGPTL6" 0.477523004083296 0.0450604177068076
"ANK1" "ANK1" -0.21113234766079 0.400352147237976
"ANK2" "ANK2" 0.689765005806875 0.00153768950317871
"ANK3" "ANK3" 0.976867822792402 3.83412665329711e-12
"ANKAR" "ANKAR" NA NA
"ANKDD1A" "ANKDD1A" NA NA
"ANKDD1B" "ANKDD1B" NA NA
"ANKEF1" "ANKEF1" NA NA
"ANKFY1" "ANKFY1" 0.117793855996342 0.641569667406646
"ANKH" "ANKH" 0.891605925265123 6.78544222866744e-07
"ANKIB1" "ANKIB1" NA NA
"ANKLE1" "ANKLE1" 0.66869159851905 0.00241272902600174
"ANKLE2" "ANKLE2" 0.717937084943639 0.000793116497757284
"ANKMY1" "ANKMY1" 0.311236419116219 0.208689434386518
"ANKMY2" "ANKMY2" NA NA
"ANKRA2" "ANKRA2" NA NA
"ANKRD10" "ANKRD10" NA NA
"ANKRD11" "ANKRD11" 0.399299989379241 0.100675645829906
"ANKRD12" "ANKRD12" 0.480506277502829 0.0435485801445954
"ANKRD13A" "ANKRD13A" NA NA
"ANKRD13B" "ANKRD13B" -0.0792099274655495 0.754718077296578
"ANKRD13C" "ANKRD13C" NA NA
"ANKRD13D" "ANKRD13D" 0.327416172247443 0.184742187089971
"ANKRD16" "ANKRD16" 0.750003078240307 0.000337747710037576
"ANKRD17" "ANKRD17" NA NA
"ANKRD18A" "ANKRD18A" NA NA
"ANKRD18B" "ANKRD18B" 0.155534104126849 0.537715627630114
"ANKRD2" "ANKRD2" NA NA
"ANKRD22" "ANKRD22" 0.634409191136995 0.00468550464926604
"ANKRD24" "ANKRD24" NA NA
"ANKRD26" "ANKRD26" NA NA
"ANKRD27" "ANKRD27" 0.269618714267811 0.279265843401244
"ANKRD28" "ANKRD28" 0.62894016176939 0.00517221743581478
