"gene" "num_prom" "active_prom_num" "active_prom_perc" "num_ex" "active_ex_num" "active_ex_perc" "num_enh" "active_enh_num" "active_enh_perc" "expr_num" "expr_perc"
"ADCY4" "ADCY4" 1 902 0.0843700308670845 0 0 0 1 2440 0.228229351791226 156 0.0145917126555046
"ADCY5" "ADCY5" 1 252 0.0235712281358152 1 495 0.0463006266953512 0 0 0 9 0.000841829576279113
"ADCY6" "ADCY6" 3 651 0.0608923393508559 0 0 0 0 0 0 9 0.000841829576279113
"ADCY7" "ADCY7" 2 3710 0.347020858666168 0 0 0 5 4225 0.39519221775325 2326 0.217566177158357
"ADCY9" "ADCY9" 1 4894 0.457768216256664 0 0 0 8 8647 0.808811149565055 785 0.073426246375456
"ADD1" "ADD1" 1 5854 0.54756337105977 1 224 0.0209522027873913 7 8532 0.798054438312599 2622 0.245253016555982
"ADD2" "ADD2" 2 694 0.0649144139930783 1 298 0.0278739126367973 1 394 0.0368534281171078 108 0.0101019549153494
"ADD3" "ADD3" 2 5752 0.53802263586194 0 0 0 16 7163 0.670002806098588 4230 0.395659900851183
"ADGB" "ADGB" 1 347 0.0324572069965391 1 148 0.0138434196988121 14 2625 0.245533626414741 15 0.00140304929379852
"ADGRA2" "ADGRA2" 1 1185 0.110840894210083 0 0 0 0 0 0 81 0.00757646618651202
"ADGRA3" "ADGRA3" 1 443 0.0414367224768497 0 0 0 0 0 0 96 0.00897951548031054
"ADGRB1" "ADGRB1" 1 475 0.0444298943036199 0 0 0 4 6245 0.584136189318118 30 0.00280609858759704
"ADGRB2" "ADGRB2" 1 1840 0.172107380039285 0 0 0 7 5193 0.485735665513048 13 0.00121597605462539
"ADGRB3" "ADGRB3" 1 649 0.0607052661116827 0 0 0 0 0 0 243 0.0227293985595361
"ADGRD1" "ADGRD1" 2 432 0.0404078196613974 0 0 0 3 691 0.0646338041343186 193 0.0180525675802077
"ADGRE1" "ADGRE1" 1 548 0.0512580675334393 0 0 0 24 6661 0.62304742306613 515 0.0481713590870826
"ADGRE2" "ADGRE2" 1 990 0.0926012533907025 0 0 0 13 4614 0.431577962772425 1329 0.124310167430549
"ADGRE3" "ADGRE3" 1 719 0.0672528294827425 1 326 0.0304929379852212 18 5920 0.553736787952483 407 0.0380694041717332
"ADGRE5" "ADGRE5" 1 4240 0.396595267047049 0 0 0 17 9088 0.850060798802731 5084 0.475540173978112
"ADGRG1" "ADGRG1" 2 622 0.0581797773828454 0 0 0 0 0 0 361 0.0337667196707511
"ADGRG3" "ADGRG3" 1 801 0.0749228322888411 2 1693 0.15835749696006 14 4468 0.417921616312786 46 0.00430268450098213
"ADGRG5" "ADGRG5" 2 5605 0.524272752782714 0 0 0 24 9197 0.860256290337667 473 0.0442428210644467
"ADGRG6" "ADGRG6" 1 595 0.055654288654008 0 0 0 0 0 0 19 0.00177719577214479
"ADGRG7" "ADGRG7" 2 219 0.0204845196894584 0 0 0 0 0 0 5 0.000467683097932841
"ADGRV1" "ADGRV1" 1 211 0.0197362267327659 1 131 0.0122532971658404 0 0 0 170 0.0159012253297166
"ADH5" "ADH5" 1 3247 0.303713403797587 0 0 0 2 1087 0.1016743054906 1055 0.0986811336638294
"ADHFE1" "ADHFE1" 1 1963 0.183612384248433 0 0 0 5 4440 0.415302590964363 565 0.052848190066411
"ADI1" "ADI1" 1 6840 0.639790477972126 0 0 0 2 1718 0.160695912449724 1012 0.094659059021607
"ADIPOR1" "ADIPOR1" 1 5832 0.545505565428865 0 0 0 0 0 0 938 0.0877373491722009
"ADIPOR2" "ADIPOR2" 1 5701 0.533252268263025 0 0 0 2 5113 0.478252735946123 1598 0.149471518099336
