"gene" "PcorAvg_m" "PcorAvg_m_pvalue"
"ALG14" "ALG14" 0.722253553734993 0.000711758019545741
"ALG1L2" "ALG1L2" 0.715786171432459 0.000836468373515845
"ALG2" "ALG2" 0.682609188732495 0.00179899643806534
"ALG3" "ALG3" 0.478161058766192 0.0447337649630963
"ALG5" "ALG5" 0.714863653322417 0.000855658136760832
"ALG6" "ALG6" 0.780617292485516 0.000131960820928797
"ALG8" "ALG8" 0.717578230712533 0.000800215967067432
"ALG9" "ALG9" 0.545359095021636 0.0192421687207872
"ALK" "ALK" -0.194192727731488 0.440033556278812
"ALKAL2" "ALKAL2" 0.344511205842123 0.16151279295081
"ALKBH1" "ALKBH1" 0.671085245157466 0.00229638630995726
"ALKBH2" "ALKBH2" 0.886222400527992 9.82580819450331e-07
"ALKBH3" "ALKBH3" 0.667917761127665 0.00245136338192299
"ALKBH4" "ALKBH4" 0.641237136827915 0.00413092191548075
"ALKBH5" "ALKBH5" 0.903337363627234 2.81933720556972e-07
"ALKBH6" "ALKBH6" 0.684713693754944 0.00171859997817432
"ALKBH7" "ALKBH7" 0.577412877164808 0.0120978295925539
"ALKBH8" "ALKBH8" 0.73301045320724 0.000538802211451902
"ALMS1" "ALMS1" 0.806113205778828 5.35568200086889e-05
"ALOX12" "ALOX12" 0.392551337893678 0.107104316521134
"ALOX12B" "ALOX12B" 0.00755990355634759 0.976249271190785
"ALOX15" "ALOX15" 0.0957727967753061 0.705408619473091
"ALOX15B" "ALOX15B" 0.875555248125776 1.94346727932105e-06
"ALOX5" "ALOX5" 0.857584866569855 5.38933766315748e-06
"ALOX5AP" "ALOX5AP" -0.0418508702307549 0.869036528784146
"ALOXE3" "ALOXE3" -0.249224028945785 0.318613247248182
"ALPK1" "ALPK1" 0.865158393614486 3.56881193155257e-06
"ALPK2" "ALPK2" 0.862946631311194 4.0353964548351e-06
"ALPK3" "ALPK3" 0.527215485065718 0.0245564204863412
"ALPL" "ALPL" 0.452874512071875 0.0591236689909051
"ALS2" "ALS2" 0.71718472490114 0.000808061861631989
"ALS2CL" "ALS2CL" 0.656747248441421 0.00306826140075619
"ALX3" "ALX3" -0.13534965760242 0.592311522635642
"ALYREF" "ALYREF" 0.364749840715806 0.136687697666575
"AMACR" "AMACR" 0.514671304959484 0.0288552461748119
"AMBRA1" "AMBRA1" 0.790549821474553 9.42259920799093e-05
"AMD1" "AMD1" 0.742354912179979 0.000418575463552914
"AMDHD2" "AMDHD2" 0.667625250390275 0.00246609921665303
"AMER1" "AMER1" 0.25016560860192 0.316727996941493
"AMER3" "AMER3" -0.163980870538459 0.515569427629731
"AMFR" "AMFR" 0.596950826486214 0.00890938054157177
"AMIGO1" "AMIGO1" 0.752000373399025 0.00031895130093511
"AMIGO3" "AMIGO3" 0.389469358626133 0.110135648773309
"AMMECR1" "AMMECR1" 0.913899721985994 1.15595170119625e-07
"AMMECR1L" "AMMECR1L" 0.545119649857385 0.0193058299633772
"AMN" "AMN" 0.850824427629374 7.6375934383653e-06
"AMN1" "AMN1" 0.819653132038259 3.14121900975163e-05
"AMOT" "AMOT" 0.0352374971213442 0.889600684686495
"AMOTL1" "AMOTL1" 0.808148582703369 4.95601903080556e-05
"AMOTL2" "AMOTL2" -0.104917685068859 0.67864085069735
"AMPD2" "AMPD2" 0.71160913867299 0.000926315346155582
"AMPD3" "AMPD3" 0.793650289873729 8.45144582016433e-05
"AMPH" "AMPH" 0.703433892656097 0.00112552663022452
"AMT" "AMT" 0.654138130111529 0.00322931336011392
"AMZ1" "AMZ1" 0.843153890360985 1.11201801616776e-05
"AMZ2" "AMZ2" 0.86470355956327 3.66077393707573e-06
